事件,事件A,事件B,关系,年份,实体
1990年12月，印尼报纸报道印尼希望再主持一次讨论会防止南沙群岛成为冲突地带，该报说，印尼外长阿拉塔斯表示：“我们将努力争取使该群岛成为它同周围国家进行合作的新地区，并防止它成为一个冲突地区。”并且他正向该地区的国家提出这个问题，还表示计划在1991年召开，将试图使中国、越南和老挝参加讨论会。预计讨论会将探索这个引起争端的地区的各种合作前景。后在1991年7月份，印尼主持召开了该会议“多国联合开发南海会议”，该会议上，中国表示愿意采取灵活的立场，当具体在哪些问题上让步尚不清楚，且中方坚持认为，这种会谈只不过是学者之间的交换看法，并不是官员会议，并提出中国参加该会议并不意味着改变立场，只有大家都不提出主权问题，会议才会取得成功。,1990年12月，印尼希望再主持一次讨论会以防止南沙群岛成为冲突地带。,1991年7月份，印尼主持召开了“多国联合开发南海会议”。,顺承,1990,印尼南沙越南老挝南海
1991年6月26日，中国新华社发表文章《南海诸岛主权及其争议由来和现状》，其中表示越南、菲律宾、马来西亚、印度尼西亚、文莱等国家伙同西方的石油公司大量开采我南沙油气资源，印度尼西亚在我传统疆域线内打井近20口，海上石油年产量达2000万吨。并指出这些国家今后将继续奉行“控制即主权”的方针，在巩固既得利益的同时加快掠夺我国南沙油气等海洋资源的步伐。,新华社发表文章《南海诸岛主权及其争议由来和现状》。,越南、菲律宾、马来西亚、印度尼西亚、文莱等国家伙同西方石油公司在南沙地区大量开采油气资源。,因果,1991,中国新华社南海越南菲律宾马来西亚印度尼西亚文莱南沙
1992年，印尼再次主持了一次讨论会防止南沙群岛成为冲突地带。,1992年，印尼主持了一次讨论会。,讨论会的目的是防止南沙群岛成为冲突地带。,因果,1992,印尼南沙
1992年5月8日，中国海洋石油公司与美国克雷斯通（Crestone）能源公司在北京签署了在南沙群岛西部海域“万安北—21合同区”约25，255平方千米范围内联合勘探开发石油的合同。该合同于5月22日获得中国政府批准，并于6月1日开始实施。,1992年5月8日，中国海洋石油公司与美国克雷斯通能源公司在北京签署了联合勘探开发石油的合同。,该合同于5月22日获得中国政府批准，并于6月1日开始实施。,顺承,1992,中国海洋石油公司美国Crestone公司北京南沙群岛万安中国政府
1992年6月19日《参考资料》文章中，给出了南海周边国家在我国《领海法》公布以后的军事动向。其中提到，东盟各国政府都认为美军应该继续留驻东南亚。新加坡、马来西亚、印尼、泰国、等还为美军的驻防东南亚提供各种便利。而美助理国防部长詹姆斯·利利等高级军政官员表示，华盛顿将保证在东南亚地区继续保留一只“人数不多但却非常有力”的军事力量，以防止南海及其周边地区由于出现“力量真空”而造成的紧张局势。,东盟各国政府认为美军应该继续留驻东南亚。,美助理国防部长詹姆斯·利利表示华盛顿将保证在东南亚地区继续保留一只“人数不多但却非常有力”的军事力量。,因果,1992,东盟东南亚新加坡马来西亚印尼泰国华盛顿南海
1993年，马来西亚侵占南通礁。,1993年，马来西亚侵占南通礁。,南通礁的主权争议加剧。,因果,1993,马来西亚南通礁
1994年，马来西亚正式对外开放弹丸岛上观光，有三星级度假中心，有客房26间，是著名的旅游胜地。,马来西亚正式对外开放弹丸岛上观光。,弹丸岛上有三星级度假中心和26间客房，是著名的旅游胜地。,因果,1994,马来西亚弹丸岛
1994年10月18日，菲国家地图和资源信息部再次确认：黄岩岛位于菲领土边界之外。,菲国家地图和资源信息部确认黄岩岛位于菲领土边界之外。,黄岩岛的领土归属问题引发了国际关注。,因果,1994,菲国家地图和资源信息部黄岩岛菲
1994年4月，美国克雷斯通（Crestone）公司为履行1992年5月与中国海洋石油公司签订的合同，租赁中国勘探船“实验2号”进入“万安北—21合同区”实施地震调查和油气勘探作业，越南派出武装船只疯狂进行阻挠，为避免冲突升级，中国勘探船在尚未开展作业的情况下撤离返航。,美国克雷斯顿公司租赁中国勘探船“实验2号”进入“万安北—21合同区”实施地震调查和油气勘探作业。,越南派出武装船只进行阻挠。,并发,1994,美国公司中国海洋石油公司中国北越南
1995年2月，时任菲律宾总统拉莫斯对中国军舰出现在美济礁提出抗议，指控中国在菲律宾“所属”的美济礁建造军事设施。 ,菲总统拉莫斯对中国军舰出现在美济礁提出抗议。,中国在美济礁建造军事设施。,因果,1995,菲律宾中国美济礁
1995年5月10日美国国务院发表有关南沙群岛和南中国海的政策声明。美发言人克里斯廷·谢利表示，南中国海中的某些单方面行动和反应加剧了该地区的紧张局势，美国强烈反对使用威胁或者武力来解决问题，敦促所有提出领土要求的各方加以克制，并指出美国对于维护南中国海的和平与稳定方面有着长久的兴趣，并提到，保持航行自由涉及到美国的根本利益，使所有船只和飞机不受阻碍地在南中国海航行和飞行对于保持包括美国在内的整个亚太地区的和平与繁荣是极为重要的。美方还提出，对于南中国海中有关领土争端的法律依据美国不表明态度，但对于不符合国际法包括海洋法公约的任何海上领土要求或限制海上活动的行动，美国将深表关切。,1995年5月10日美国国务院发表关于南沙群岛和南中国海的政策声明。,美方敦促所有提出领土要求的各方加以克制，并强调维护南中国海的和平与稳定的重要性。,因果,1995,南沙南中国海美美国
1995年7月3日美《时代》周刊报道：美太平洋部队司令理查德·马克海军上将说美不会从太平洋地区撤军，美国在该地区的利益很大，会保证有10万的武装人员。他还提到了南沙群岛，指出美国对航行自由非常关心，而南海是一条重要贸易通道，从军事观点看，这也是他们从印度洋来回调动部队的通道，所以不想看到紧张局势的进一步加强。,美太平洋部队司令理查德·马克海军上将表示美国不会从太平洋地区撤军。,理查德·马克提到美国对南沙群岛的航行自由非常关心。,因果,1995,美太平洋美国南海印度洋
1996年4月，越南与美国杜邦公司的子公司——大陆石油公司签订了一个面积约为12，000平方千米的勘探与开采合同，其位置覆盖了“万安北—21合同区”。,越南与美国杜邦公司的子公司大陆石油公司签订勘探与开采合同。,"合同覆盖了“万安北—21合同区”，面积约为12,000平方千米。",条件,1996,越南美国杜邦公司大陆石油万安
1997年，菲律宾公然派遣军队禁止中国渔船进入黄岩岛，意图强占黄岩岛。时任菲律宾外交部长的西亚松于1997年6月5日发表关于黄岩岛的声明，以菲律宾对黄岩岛及其周围海域行使了有效的主权与管辖权为由，宣称黄岩岛为菲律宾的领土。 ,菲律宾公然派遣军队禁止中国渔船进入黄岩岛。,时任菲律宾外交部长的西亚松于1997年6月5日发表关于黄岩岛的声明，宣称黄岩岛为菲律宾的领土。,顺承,1997,菲律宾中国黄岩岛
1998年10月，菲律宾再生事端，指责中国在美济礁扩大“军事建筑”，其海军再次拘捕20名中国渔民。 ,菲律宾指责中国在美济礁扩大“军事建筑”。,菲律宾海军拘捕了20名中国渔民。,因果,1998,菲律宾中国美济礁
1999年，马来西亚侵占簸箕礁和榆亚暗沙。,马来西亚侵占簸箕礁。,马来西亚侵占榆亚暗沙。,并发,1999,马来西亚簸箕礁
1999年3月和11月，菲律宾分别派遣军舰到仁爱礁与黄岩岛“坐滩”。 ,菲律宾在1999年3月派遣军舰到仁爱礁“坐滩”。,菲律宾在1999年11月派遣军舰到黄岩岛“坐滩”。,顺承,1999,菲律宾仁爱礁黄岩岛
2001年4月1日，一架美国海军EP-3型侦察机在中国海南岛附近海域上空执行侦查任务，中国海军航空兵派出2架歼-8II战斗机进行监视和拦截其中一架僚机在中国海南岛东南约70海里（110公里）处的中国专属经济区上空与美军飞机发生碰撞而坠毁，飞行员王伟跳伞后下落不明，英勇牺牲。美军侦察机在海南岛陵水机场迫降。,2001年4月1日，美国海军EP-3型侦察机在中国海南岛附近海域上空执行侦查任务。,中国海军航空兵派出2架歼-8II战斗机进行监视和拦截美军侦察机。,因果,2001,美国海军中国海南岛中国海军航空兵中国海南岛中国专属美军海南岛陵水机场
2002年11月，中国同东盟签署了《南海各方行为宣言》，就和平解决争议、开展南海合作达成共识。宣言确认：“强调通过友好协商和谈判，以和平方式解决南海有关争议。,2002年11，中国同东盟签署了《南海各方行为宣言》。,宣言确认通过友好协商和谈判，以和平方式解决南海有关争议。,因果,2002,中国东盟南海
2003年6月，印度尼西亚与越南签署大陆架划界协定，所划界限连接了上述印度尼西亚和马来西亚大陆架划界协定的东西两段海上界线。印度尼西亚与马来西亚和越南大陆架界限的划定，封闭了印度尼西亚的纳土纳群岛以北海域的大陆架范围。印度尼西亚在此海域的大陆架进入断续线以内。中国对此提出交涉。,印度尼西亚与越南签署大陆架划界协定。,中国对此提出交涉。,因果,2003,印度尼西亚越南马来西亚中国
台湾当局军政部门在太平岛建成飞机跑道。,台湾当局军政部门在太平岛建成飞机跑道。,台湾在太平岛的军事能力得到了增强。,因果,2007,太平岛
陈水扁第二次登上太平岛，并发表了《南沙倡议》，试图借参与南海多边合作来确立台湾的“主权国家”身份，从而使国际社会间接承认“台独”。,陈水扁第二次登上太平岛，并发表了《南沙倡议》。,陈水扁试图借参与南海多边合作来确立台湾的“主权国家”身份。,因果,2008,太平岛南沙南海台湾
2008年7月20日，越南与美国埃克森—美孚公司达成了一项油气初步勘探合作协议，勘探地点位于南海中越争议海域。22日，中国外交部发言人表示，此举是对中国主权的侵犯，要求埃克森—美孚终止该协议。,越南与美国埃克森—美孚公司达成了一项油气初步勘探合作协议。,中国外交部发言人表示此举是对中国主权的侵犯，要求埃克森—美孚终止该协议。,因果,2008,越南美国埃克森—美孚公司南海中中国外交部中国埃克森—美孚
中国提交了《就马来西亚和越南向大陆架限界委员会联合提交文件呈交联合国秘书长的普通照会》和一份含“九段线”的地图，声明越南和马来西亚的要求严重侵犯了中国主权。,中国提交了《就马来西亚和越南向大陆架限界委员会联合提交文件呈交联合国秘书长的普通照会》和一份含“九段线”的地图。,中国声明越南和马来西亚的要求严重侵犯了中国主权。,因果,2009,马来西亚越南联合国中国
